Filename,Word Count,COCA_Academic_Range_AW,COCA_Academic_Frequency_AW,COCA_Academic_Range_Log_AW,COCA_Academic_Frequency_Log_AW,COCA_Academic_Range_CW,COCA_Academic_Frequency_CW,COCA_Academic_Range_Log_CW,COCA_Academic_Frequency_Log_CW,COCA_Academic_Range_FW,COCA_Academic_Frequency_FW,COCA_Academic_Range_Log_FW,COCA_Academic_Frequency_Log_FW
IDN_A2_0_1.txt,2137,0.603144098229,8175.7086418,-0.490740095928,2.85583172971,0.393223463691,1202.24805706,-0.781907224181,2.20118837432,0.927841482585,18961.9965966,-0.0403736745302,3.86840958156
TWN_A2_0_GPT.txt,337,0.521297863582,6835.8333921,-0.555824876247,2.71535275392,0.307588703856,649.178194323,-0.82338322911,2.07454532293,0.931991118358,18724.9707722,-0.0416475198759,3.94681746913
IDN_A2_0_GPT.txt,396,0.500816727532,7065.31808526,-0.594217127305,2.66098910117,0.272874884938,554.189157454,-0.884272486798,1.97477540652,0.936587897196,19513.0645649,-0.0396995282759,3.97286822329
TWN_B1_1_GPT.txt,374,0.499161305049,7972.70101583,-0.605465787853,2.68637622923,0.253863381336,539.974026558,-0.919745759791,1.93882023915,0.948874165189,21599.3671628,-0.0292858393018,4.05689554437
JPN_A2_0_1.txt,2138,0.643148067745,6113.96492795,-0.317742528094,3.03050936789,0.468682771328,1242.92764139,-0.489096379792,2.53554082657,0.924052216589,13956.7543598,-0.041848073146,3.82745133662
IDN_A2_0_2.txt,2180,0.615693815546,6657.18924564,-0.36963592839,2.95617712513,0.440833030143,1097.45555059,-0.555360697436,2.44500465485,0.918167648881,16274.4053595,-0.0483695980942,3.84040223156
IDN_B1_1_GPT.txt,355,0.503788392979,6710.92942354,-0.583904557149,2.66761276799,0.286014365791,643.888942574,-0.854518620864,2.02900190355,0.944920396772,19000.575526,-0.0357376075705,3.96120913441
IDN_B2_0_GPT.txt,352,0.515938187943,6929.35403692,-0.542525945923,2.72217762947,0.288314372447,488.225173924,-0.813307639669,2.05000591545,0.945065053221,19072.4658278,-0.03203586755,3.98938659852
IDN_B1_2_2.txt,2206,0.631746469871,5867.9690317,-0.349052114659,2.95832809274,0.469670421783,1152.84575672,-0.520610153355,2.4866787034,0.914366578724,14089.9652424,-0.0498977846818,3.78076671541
JPN_B1_2_1.txt,2253,0.630375408665,6599.44586159,-0.339198051204,3.01213580816,0.456486015221,1251.48979115,-0.513444996703,2.5068948719,0.920122468983,15510.5963316,-0.0488552118389,3.85400472916
