Filename,cw_percentage,fw_percentage,COCA_spoken_Range_AW,COCA_spoken_Frequency_AW,COCA_spoken_Range_Log_AW,COCA_spoken_Frequency_Log_AW,COCA_spoken_Range_CW,COCA_spoken_Frequency_CW,COCA_spoken_Range_Log_CW,COCA_spoken_Frequency_Log_CW,COCA_spoken_Range_FW,COCA_spoken_Frequency_FW,COCA_spoken_Range_Log_FW,COCA_spoken_Frequency_Log_FW
IDN_B2_0_GPT.txt,0.653409090909,0.346590909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
IDN_B1_2_2.txt,0.637352674524,0.362647325476,0.991422121896,0.991422121896,0.991422121896,0.991422121896,0.986572438163,0.986572438163,0.986572438163,0.986572438163,1.0,1.0,1.0,1.0,
JPN_B1_2_1.txt,0.62494451842,0.37505548158,0.995141342756,0.995141342756,0.995141342756,0.995141342756,0.992248062016,0.992248062016,0.992248062016,0.992248062016,1.0,1.0,1.0,1.0,
CHN_B1_1_1.txt,0.591421143847,0.408578856153,0.993073593074,0.993073593074,0.993073593074,0.993073593074,0.988295537674,0.988295537674,0.988295537674,0.988295537674,1.0,1.0,1.0,1.0,
CHN_B2_0_1.txt,0.604342581423,0.395657418577,0.991189427313,0.991189427313,0.991189427313,0.991189427313,0.98545935228,0.98545935228,0.98545935228,0.98545935228,1.0,1.0,1.0,1.0,
TWN_B2_0_GPT.txt,0.637540453074,0.362459546926,0.996763754045,0.996763754045,0.996763754045,0.996763754045,0.994923857868,0.994923857868,0.994923857868,0.994923857868,1.0,1.0,1.0,1.0,
JPN_B1_2_GPT.txt,0.671924290221,0.328075709779,0.996845425868,0.996845425868,0.996845425868,0.996845425868,0.995305164319,0.995305164319,0.995305164319,0.995305164319,1.0,1.0,1.0,1.0,
IDN_B1_2_1.txt,0.597118959108,0.402881040892,0.992619926199,0.992619926199,0.992619926199,0.992619926199,0.987701767871,0.987701767871,0.987701767871,0.987701767871,1.0,1.0,1.0,1.0,
JPN_B1_2_2.txt,0.620829576195,0.379170423805,0.990169794459,0.990169794459,0.990169794459,0.990169794459,0.984251968504,0.984251968504,0.984251968504,0.984251968504,1.0,1.0,1.0,1.0,
CHN_B1_1_2.txt,0.603344768439,0.396655231561,0.992297817715,0.992297817715,0.992297817715,0.992297817715,0.987252124646,0.987252124646,0.987252124646,0.987252124646,1.0,1.0,1.0,1.0,
